# tools/parity-sample.tsv — 100 random sites >1MB from /var/www-hotglue/usr (seeded draw 20260907)
# site<TAB>page<TAB>target<TAB>note (note=object count)
ikarlyyy	EXPOSISIONS	ikarlyyy-EXPOSISIONS	19 objects, 16212 KB
ikarlyyy	Fonaments 	ikarlyyy-Fonaments	187 objects, 97844 KB
ikarlyyy	Mitgans Informatics	ikarlyyy-Mitgans-Informatics	112 objects, 65564 KB
ikarlyyy	multimedia	ikarlyyy-multimedia	206 objects, 44136 KB
ikarlyyy	MULTIMEDIA	ikarlyyy-MULTIMEDIA	71 objects, 24640 KB
ikarlyyy	ORDER	ikarlyyy-ORDER	12 objects, 4500 KB
ikarlyyy	Primeres activitats	ikarlyyy-Primeres-activitats	15 objects, 10692 KB
ikarlyyy	TIPOGRAFIA	ikarlyyy-TIPOGRAFIA	222 objects, 252764 KB
ines016	inspirations	ines016-inspirations	24 objects, 916 KB
ines016	me	ines016-me	18 objects, 8 KB
ines016	projects	ines016-projects	21 objects, 972 KB
ines016	start	ines016-start	17 objects, 1300 KB
insubordinablespace	cv	insubordinablespace-cv	69 objects, 10540 KB
insubordinablespace	start	insubordinablespace-start	4 objects, 52 KB
insubordinablespace	tropical depression	insubordinablespace-tropical-depression	1 objects, 0 KB
insubordinablespace	tropical-depression	insubordinablespace-tropical-depression-2	7 objects, 12360 KB
irenesg	home	irenesg-home	13 objects, 7748 KB
irenesg	photos	irenesg-photos	31 objects, 105008 KB
irenesg	videos	irenesg-videos	9 objects, 12872 KB
isisbe	Pag1	isisbe-Pag1	14 objects, 912 KB
isisbe	Pagina 2	isisbe-Pagina-2	14 objects, 408 KB
isisbe	Pagina3	isisbe-Pagina3	10 objects, 216 KB
isisbe	start	isisbe-start	16 objects, 916 KB
jeanlowcost	charlotte camus	jeanlowcost-charlotte-camus	25 objects, 14016 KB
jmahadew	start	jmahadew-start	2 objects, 5232 KB
juliagonzalez	3D Object	juliagonzalez-3D-Object	4 objects, 1136 KB
juliagonzalez	Argon-Telurio	juliagonzalez-Argon-Telurio	4 objects, 1004 KB
juliagonzalez	Argon-Telurio-Biomímesis e Impresión 3d	juliagonzalez-Argon-Telurio-Biomimesis-e-Impresion-3d	5 objects, 212 KB
juliagonzalez	Argon-Telurio-Blade Runner	juliagonzalez-Argon-Telurio-Blade-Runner	5 objects, 68 KB
juliagonzalez	Argon-Telurio-Metaescitorio	juliagonzalez-Argon-Telurio-Metaescitorio	5 objects, 2268 KB
juliagonzalez	Argon-Telurio-Palomas	juliagonzalez-Argon-Telurio-Palomas	5 objects, 264 KB
juliagonzalez	Argon-Telurio-Películas	juliagonzalez-Argon-Telurio-Peliculas	5 objects, 452 KB
juliagonzalez	Argon-Telurio-Rizoma	juliagonzalez-Argon-Telurio-Rizoma	5 objects, 60 KB
juliagonzalez	Argon-Telurio-Seurat	juliagonzalez-Argon-Telurio-Seurat	7 objects, 232 KB
juliagonzalez	Argon-Telurio-Sistemas Emergentes	juliagonzalez-Argon-Telurio-Sistemas-Emergentes	7 objects, 144 KB
kairoz	aforismoscoreograficosficcoesfilosoficas	kairoz-aforismoscoreograficosficcoesfilosoficas	37 objects, 144 KB
kairoz	aramainoiquarta	kairoz-aramainoiquarta	15 objects, 17568 KB
kairoz	coisacoreografica	kairoz-coisacoreografica	5 objects, 0 KB
kairoz	comprovantes	kairoz-comprovantes	2 objects, 8 KB
kairoz	coreografia12	kairoz-coreografia12	16 objects, 13012 KB
kairoz	coreografia13	kairoz-coreografia13	32 objects, 30004 KB
kairoz	coreografia16	kairoz-coreografia16	7 objects, 140 KB
kairoz	coreografia18	kairoz-coreografia18	23 objects, 1536 KB
kairoz	coreografia9	kairoz-coreografia9	16 objects, 9052 KB
kairoz	coreografias	kairoz-coreografias	56 objects, 432 KB
